"","Year","Month","Burned_Area_km2"
"1",1997,"Jan",558.6298
"2",1997,"Feb",102.8702
"3",1997,"Mar",244.2646
"4",1997,"Apr",1388.163
"5",1997,"May",531.0915
"6",1997,"Jun",202.1312
"7",1997,"Jul",222.2885
"8",1997,"Aug",393.6942
"9",1997,"Sep",300.2204
"10",1997,"Oct",434.1667
"11",1997,"Nov",895.0626
"12",1997,"Dec",3723.901
"13",1998,"Jan",1408.658
"14",1998,"Feb",1026.909
"15",1998,"Mar",377.4259
"16",1998,"Apr",782.3806
"17",1998,"May",168.3766
"18",1998,"Jun",68.78367
"19",1998,"Jul",92.32915
"20",1998,"Aug",90.03044
"21",1998,"Sep",314.7351
"22",1998,"Oct",1317.754
"23",1998,"Nov",99.59032
"24",1998,"Dec",510.1421
"25",1999,"Jan",500.2196
"26",1999,"Feb",496.9257
"27",1999,"Mar",643.638
"28",1999,"Apr",1982.999
"29",1999,"May",239.028
"30",1999,"Jun",85.41136
"31",1999,"Jul",91.01192
"32",1999,"Aug",160.4249
"33",1999,"Sep",581.6833
"34",1999,"Oct",701.3148
"35",1999,"Nov",247.1698
"36",1999,"Dec",1584.465
"37",2000,"Jan",1172.845
"38",2000,"Feb",217.309
"39",2000,"Mar",324.5718
"40",2000,"Apr",1143.881
"41",2000,"May",236.1563
"42",2000,"Jun",75.4097
"43",2000,"Jul",109.6348
"44",2000,"Aug",215.8499
"45",2000,"Sep",1243.029
"46",2000,"Oct",829.5725
"47",2000,"Nov",0.5024837
"48",2000,"Dec",13.18171
"49",2001,"Jan",62.30468
"50",2001,"Feb",2.736896
"51",2001,"Mar",15.9384
"52",2001,"Apr",82.9119
"53",2001,"May",9.820631
"54",2001,"Jun",2.253916
"55",2001,"Jul",3.219879
"56",2001,"Aug",53.23534
"57",2001,"Sep",12.55753
"58",2001,"Oct",174.0882
"59",2001,"Nov",318.0168
"60",2001,"Dec",1384.978
"61",2002,"Jan",3536.931
"62",2002,"Feb",29.35457
"63",2002,"Mar",36.00898
"64",2002,"Apr",77.81377
"65",2002,"May",32.14513
"66",2002,"Jun",14.22113
"67",2002,"Jul",70.67636
"68",2002,"Aug",93.00087
"69",2002,"Sep",91.44458
"70",2002,"Oct",2193.49
"71",2002,"Nov",2178.302
"72",2002,"Dec",1620.888
"73",2003,"Jan",8675.432
"74",2003,"Feb",7988.791
"75",2003,"Mar",76.5258
"76",2003,"Apr",81.67761
"77",2003,"May",104.1094
"78",2003,"Jun",8.801003
"79",2003,"Jul",5.420131
"80",2003,"Aug",2.736896
"81",2003,"Sep",252.9752
"82",2003,"Oct",20.71455
"83",2003,"Nov",22.53916
"84",2003,"Dec",27.95929
"85",2004,"Jan",49.53248
"86",2004,"Feb",22.37816
"87",2004,"Mar",232.046
"88",2004,"Apr",378.4432
"89",2004,"May",586.6084
"90",2004,"Jun",851.2826
"91",2004,"Jul",26.40301
"92",2004,"Aug",44.70266
"93",2004,"Sep",34.6137
"94",2004,"Oct",104.4851
"95",2004,"Nov",89.83464
"96",2004,"Dec",28.92525
"97",2005,"Jan",48.45919
"98",2005,"Feb",43.41471
"99",2005,"Mar",186.8604
"100",2005,"Apr",505.5211
"101",2005,"May",317.6411
"102",2005,"Jun",260.4883
"103",2005,"Jul",10.67926
"104",2005,"Aug",10.46461
"105",2005,"Sep",10.7866
"106",2005,"Oct",42.34142
"107",2005,"Nov",34.82837
"108",2005,"Dec",98.09901
"109",2006,"Jan",411.7153
"110",2006,"Feb",224.9086
"111",2006,"Mar",38.96054
"112",2006,"Apr",435.8644
"113",2006,"May",728.6589
"114",2006,"Jun",460.9258
"115",2006,"Jul",113.1251
"116",2006,"Aug",14.2748
"117",2006,"Sep",60.05075
"118",2006,"Oct",151.227
"119",2006,"Nov",1007.822
"120",2006,"Dec",8669.42
"121",2007,"Jan",3270.271
"122",2007,"Feb",624.6568
"123",2007,"Mar",77.81377
"124",2007,"Apr",245.5695
"125",2007,"May",99.22595
"126",2007,"Jun",4.829817
"127",2007,"Jul",3.81019
"128",2007,"Aug",35.57967
"129",2007,"Sep",58.97747
"130",2007,"Oct",273.9044
"131",2007,"Nov",3.380872
"132",2007,"Dec",0.536646
"133",2008,"Jan",10.46461
"134",2008,"Feb",3.971185
"135",2008,"Mar",78.77971
"136",2008,"Apr",400.2847
"137",2008,"May",176.5031
"138",2008,"Jun",38.90688
"139",2008,"Jul",1.180622
"140",2008,"Aug",18.72897
"141",2008,"Sep",20.66089
"142",2008,"Oct",79.31638
"143",2008,"Nov",17.17269
"144",2008,"Dec",20.71456
"145",2009,"Jan",103.3045
"146",2009,"Feb",2514.565
"147",2009,"Mar",288.4476
"148",2009,"Apr",474.4493
"149",2009,"May",244.6035
"150",2009,"Jun",58.27982
"151",2009,"Jul",2.307578
"152",2009,"Aug",54.63062
"153",2009,"Sep",130.4588
"154",2009,"Oct",216.9662
"155",2009,"Nov",116.1303
"156",2009,"Dec",795.9006
"157",2010,"Jan",41.10713
"158",2010,"Feb",3.59553
